conversation_id,clean_text,subcluster
21082,I hv ord BB Q5 in Sept mth but recd BBQ10 which picked on 7th Oct but still not recd refund after follow up #Amazon #Cheater,1
21100,I assumed your previous question meant you were going to do something...?,1
21405,Hey if you are going to drop wiper blades from S&amp;S maybe make sure the ones you suggest as a replacement fit my vehicle?,11
21423,"hello, could I have some information about an order please",5
21462,How do I chat online with someone re issue with my Amazon Fire for Kids? Website is useless.,1
21493,Why does not Amazon support the Arabic language knowing that many customers have 85% of the Arabs?,1
21503,"Amit Agarwal, SVP &amp; Country Head, in conversation with",1
21507,cheat trick by,1
21863,So now I have to sell my kidneys to get an ab roller? #Amazon #LOL,1
21914,#AmazonPayAppQuiz who's the winner,1
21941,fed up pls look Order#4__credit_card__. I want my products dont need apologies. more than 5 apologise withme,5
21956,product is not deliverable to any single pincode in India. making customers fool by listing product at low price,7
22166,"Thanks for spooking me on Halloween with an iPhone cable that caught on fire, needed a good scare #HappyHalloween2017",4
22175,"Ths is so unprofessional of u guys.10k ws deducted frm my ac4no reasn&amp;tld tht it wil b compensated,but there's no ans.",10
22191,Yo thanks 😝,4
22217,I’m unsure how a book can be ‘currently unavailable’ from the Store. Do they have to post it on a thumb drive &amp; have run out?,1
22499,"three times I have asked UAE to deliver my parcel and it is still at their warehouse, absolutely rubbish!!!!!!",1
22548,what's update of this?,1
22554,horrible experience. Pathetic cs care . Worst experience. Even a prime member,1
22559,pin set and purchase restrictions on. So WHY is my toddler still able to buy 3 films?,1
22579,"it's 3rd week still I haven't received my replacement order, I had received unworkable mobile &amp; still it's not replace #Amazon",5
23976,"Hey, is the brighton date not included in the pre-sale for morrissey??",8
24472,be careful while ordering any item from and asking for an extended warranty. Activating the warranty is a nightmare,13
24484,"why do i keep getting emails saying ""thanks for reviewing this product"" when IVE NEVER WRITTEN A REVIEW ON IT?!?!?!",0
24528,"Hi, is there a way to play songs from my phone folders or upload them on cloud and play on to my ?",1
24533,I am unable to Use Prime Video even though I am Prime Member it tells me to sign up for prime Membership,1
24556,your courier sucks really!,1
24943,I have ordered one black and grey backpack of Polestar and I received complete pink backpack which I never ordered,1
24972,Happy #Halloween! What treats are you hoping to snack on this evening? 🍬🍭🍫,1
24974,It's coming. Can't wait for . 😍,1
25001,i have had a payment taken THREE times and no product!,7
25008,your Amazon pay offer is more complected than GST and thats all a bundle of crooks.,1
25261,I am a Prime customer. Is Amazon Video free for me or do I still need to pay some monthly subscription charges?,1
25285,Look at this big ass box used to ship my item.... like why,9
25848,"Its more than two week now, never had such pathetic experience with Amazon.",1
25878,my ordr shows delivrd.Track (AW851403592IN) but I didn't receve z it possible? It means Amazon z cheating,1
25881,I have purchased a keybrd &amp;mouse mrp shows 787 bt bill amt 799 from amazon ..,1
25947,i love u but the amount of plastic and the size of the box in comparison to the size of the product is gargantuan!,7
26850,are you listing the Brighton gig as part of the Morrissey Pre sale,1
26852,"hi there, it wont let me buy any, even 1 is exceeding the maximum amount for brighton?",1
26893,why no Brighton tickets available in the pre-sale? I bought the album as I was told it would give me access?,6
26901,Biggest con for Morrissey pre-sale..... No Royal Albert Hall tickets listed? #morrissey,1
26907,Hi I am not happy at all NO response from this is not acceptable it’s Racism which I wouldn’t expect from Amazon......,11
26934,Hi - I can’t get Alexa to play podcasts from - any tips?,1
26962,Oh heck. Looks like dodgy seller on has swizzled me with my Fingerlings order &amp; now they are OOS everywhere :( not a happy mama,9
27340,why is your site telling me I’ve reached the max number of tickets when I tried to buy 1 for Morrissey at 10:00?! 😩,1
27343,what's happening with Moz RAH ticket pre-sale?? Keeps telling me I've exceeded maximum - haven't bought any yet! Shambles,1
27345,what is this shit? Trying to get Brighton,1
27350,Argh! Why is saying I've exceeded the number of tickets allowed when I'm trying to book 2 for ?!,2
27353,I have ordered 2 things from in the past month and haven't received either items and now Amazon is NOT tryna give me a refund 🗣🗣,1
27373,Why is amazon not disbursing funds to sellers and giving no information? Has amazon gone bust?,1
27375,website won't allow me to buy Brighton Morrissey tickets. Always 'exceeded maximum number allowed'. Even if you ask for one,1
27380,"Hi, is the Royal Albert Hall show on Wednesday 7th March not part of the Morrissey pre-sale?",1
27382,"it says I’ve exceeded the amount of tickets for Morrissey tour, and I havernt even brought any?",1
27385,"the site keeps saying this for the Brighton tickets, any reason? I'm only trying to buy 2?",2
27387,why wont it let me buy morrisey tix?? I havent bought any.,1
27389,have priority for the morrisey tour and trying to get tickets but it is saying I’m exceeding minimum tickets?!,1
27392,Nooooo!!! Why is this happening when I haven't booked any tickets yet?? For Morrissey at Brighton! 😡😡,1
27400,See prehistoric beasts in action at the spectacular Walking With Dinosaurs arena tour 🙌 Pre-sale tickets:,1
27402,why is it saying I have exceeded the maximum for morrissey tickets when I have selected one!,1
27404,Trying to buy Morrissey tickets for Brighton &amp; being told I've exceeded number of tickets! I haven't!,1
27424,why can't I book morrissey tickets????? Fuming right now.,1
27427,trying to buy 2 tickets for RAH 'You have exceeded the maximum allowed number of tickets for this event' ???,1
27430,What????,1
27817,Shame on fraud by Amazon Pantry,1
27838,Morrissey tickets Brighton - unable to buy any as constantly told I've exceeded max limit of tickets.,1
27859,what's up with the morrissey Brighton ticket link???,1
27863,desperately trying to book #morrissey tickets at Brighton - people had success at other venues. What's happening?,1
27868,why can't I buy morrissey Brighton tkts says I've already bought tkts I haven't please direct message,1
27890,"Yo... I've had this, is this you or is it something dodge?",1
27913,. Very good. Pre-order album to get access to pre-sale then it doesn't work.,5
28431,I have had an order frozen for a month. Spoken to reps 5x and it still isn't fixed. Why can't you fix the order?,5
28440,4 gifts do u hv an option 4 cards so an accompanying message cn b sent with the gift?,10
28444,Hi please could i have a DM regarding a recent order. Thanks,4
28458,Usual ticket sale shambles. Very disappointing. Will have to try the general sale. Feel a bit misled.,1
28879,- why did you guys stop giving the goodies pack when we join prime? It was smethng to look forward to.,1
28899,poor customer support and refund process take almost 2 months and still pending.,1
28958,y there ll be quiz when u can't keep up with prizes and giving lengthy of explanation,10
29577,Can you please deliver my order a little quick! Please!,5
29975,Given up will 2 live trying 2 place order as basket won't let me remove 1 item! FFS sort it out Amazon Bad enough u not pay tax,10
29991,dear rename ur company as Chutiyazone ! It was a mistake not to buy EPSON L361 from or !! SUCKS !!,1
30498,"Pur 50""Led TV vth extd warranty frm Amazon wch is gvng prblm. Unable 2talk 2some1 in Amazon. Micromax is infmng us 2talk 2 Amazon.",1
30550,"any chance of an update on these failed disbursements? No anouncement, every CS rep has different story.",1
31348,"hey amazon, you guys really fucking suck",8
31358,"I ordered something 3 months ago and haven’t received it, I’ve emailed the seller/you 4 times and haven’t heard a thing back??",1
31825,it's been suggested I get a crime number from police for a missing parcel or no assistance. Are you crazy?!,1
31857,I thought I missed my Amazon 📦 yesterday but the driver came back 💃🏾,1
32310,"It's pending since 1.5 months, every support person assuring pickup will be done, nothing happening!",1
32332,I pre-ordered my console like 5mins after it was announced. So why am I not receiving it,9
32334,"Dear Please add Shubh Mangal Savdhan Movie in your play list , Thanks in advance",4
32345,How can I contact customer services without logging into Amazon?,1
33170,Anyone know how you mirror on the new Amazon Fire TV? want to screen mirror #amazonfiretv #fireTV,13
33189,merry Christmas to the bitch who stole my bank information and cashed out on amazon ❗️bitch you going to JAIL ❗️❗️❗️,1
33195,#alexaindia I am not able access skills from US !!! THIS IS A CRIPPLED SERVICE FROM AMAZON,12
33224,my father bought a book via marketplace that never arrived. He requested a refund on 30 September but has heard nothing.,1
33279,10/10 for packaging there,1
33308,are the servers having problems. I'm unable to stream music past the first song on the station.,2
34476,Hey I pre-ordered 's book Slobberknocker on Sept 11th for release on Oct 19th and still nothing. Any status update?,11
34500,"I am getting ""We're sorry but we encountered an error when processing your request. Please try again"" When payi with 2 dif cards",0
35153,You want BBC Radio 1? Alexa serves up BBC Radio Guernsey. Radio 2 - still Guernsey. Radio 3? Ditto. Amazon has 5000 people working on Echo…,1
35166,d worst product i bought frm Amazon.not working proprly,7
35179,my colleagues fashioned my packaging into a must have autumn accessory! What do you think?,1
35949,"Twin Peaks the Final Dossier was expected to arrive yesterday, the day it was released. Yay, preorder! Except hasn’t shipped it yet.",1
35957,"It is so much fun coming home after a day at work, entering the room &amp; simply saying ""Alexa, play some trance music"".",1
35959,why you sending puzzles..,1
35961,Why is Amazon Prime Music stations repeating the first song? Every station I've tried does it.,1
35965,"charging me 3 times for the same purchase is unacceptable, as well as not having a customer svc phone # easily accessible online! 😠",1
36350,Thanks for sending out goods without packaging this Christmas 😡 Xmas Spoilers !! Even when gift box ticked 😫,4
36486,"Hey! you the BEST! Sincerely, Happy Customer. :)",8
36505,"Why is there a box that says I can pre-order Songs of Experience - and listen to 2 songs - but I click &amp; it says ""not found""?",5
36563,when is Raja the great movie available in Telugu in prime,6
36567,Hi I’ve had a parcel go missing I’ve already informed Royal Mail but they said I have to let you know that’s it’s gone missing is order number 204-0980251-0540346 do I have to do anything your end or nah??,11
37594,Yo we gotta talk on my lunch break,1
37633,Is there a way to suggest lyric edits on ?,1
37644,but i feel the subtlety of the issue is being lost in translation (2/2),1
38096,Full day since stole £80.15 from my bank via . No reply from customer services,1
38123,y my number is blocked ?,1
38139,"Amazon better sort this out, I ordered this months ago and it's not even coming on the release date (Nov. 2nd).",1
38157,#AMAZON why do u hv a fraud dept that doesn’t kno when there is no fraud?,10
38574,hey I need someone to solve my issue.,8
38800,Im starting to becoming very upset by :(,1
38846,"Hey , subtitles for Rizzoli and Isles are all messed up. You should definitely fix that.",8
39555,I was wondering is there no finder integration in Amazon Drive client (e.g. right click to share) ? Is it coming?,1
40364,Trying to order food from via .Not bad.,5
40397,finally you not agree with pick up your damage product and not mention any where in website for self returns. finally............,7
40408,"Hiya have been trying to buy tickets, get to the processing screen but then it won't progress and we have lost them??",1
41496,--hi i want to lease out my place to amazon for PUDO pls suggest the concerned person,1
42479,These LED lights are insane,1
42486,"Really , this enormous box for a belt??? 😂😂😂",1
42494,does the version of Reputation that you sell definitely come with the poster?,1
42496,3 phone long calls later ... numerous times I repeated myself &amp; I finally have been issued a refund. Massive lack of support from,1
42511,"Kindle Unlimited is not working for me - tried syncing, restarting, resetting. Is it a system problem?",6
42533,"First picture shows a brown tie,second shows a black tie,the product name says Black tie. What even..?",1
42535,how can I change the shipping address on a pre order? Won’t let me edit it,5
42538,what about refund for order returned? Kindly initiate asap,5
42584,Lolz this is such a wonderful discount. How did y'all ever ass your college years?,1
43248,"I am very heart broken right now, makeup needs to have a fragile label on the box/envelope.",1
43261,Why is the following item only preorderable? Other sellers than amazon do ship already.,13
43276,"for some reason all my ""stations"" are only playing one song on loop. Win 7/Chrome 62.0.3202.75",1
43279,"#Alexa: please add support for keying numbers mid-call. #EchoDot would be great for conference calls, but can't enter access codes.",1
43285,"When the job keeps you busy, but you can order a pumpkin from amazon prime now in an hour and…",5
43288,", Alexa couldn't find any songs when asked to ""Play Hindi Party Songs"" on Echo2 😑",1
43303,"You know what sucks, ? When you pre-order something to guarantee an arrival on the day of release only to find out you gotta wait",5
43305,hi please explain,1
43679,TE AMO POR SIEMPRE,1
44514,thanks for sending me my dog’s shampoo only half full because it leaked everywhere,4
44530,Why isn’t my kindle unlimited working,6
44544,Was it really necessary to send 3 x safety posters to my office in 3 separate boxes?,1
44928,I was promised a full refund for an item but I have been not refunded postage,13
45547,#Kindle is basically trash once the screen starts fading as there's no repair services anywhere in the world Pathetic! #Amazon,6
45552,they purached only goods and not response to customer in diwali iboughtredmi4notverywellsomanytimeputmailamazonis a ambak one.,1
46486,She’s here! Thanks hope it’s as good as I hear! #Alexa,11
46513,When is episode 5 of Lethal Weapon Season 2 dropping? #lethalweapon #amazonprime,14
46522,Interesting seeing as there’s been nobody in my house ALL day?!?,11
46555,totally Fucked up from ur process now I would never prefer to for any kind of process,1
46564,Huge thank you to 😁 my new remote for my Firestick ❤ arrived...it worked and I'm back in business #HappyWeeyin,2
47893,what happens if you buy a digital copy of a game on amazon?,1
47902,"Library needs an update,new collections of movies is what is urgently needs.",13
47919,"what if this would of been an xmas present, Plus it went to post office Not my front door which is the reason I have prime! #nobueno",1
47927,Furious with &amp; . Why does the customer have to pay for their lack of communication? #WhereIsMyPackage? 😡😡😡😡😡,1
47947,how could u do this to me,10
47949,this is ridiculous! My drum head came in a broken box and is warped and ripped,1
49129,"So frustrating I wanted to pick up my parcel tonight, it’s been returned? “Pickup window ended tomorrow” !",11
49134,how can u sell something higher than MRP??,10
49139,dear . then why the hell i am subscribed to . if you proudly promote trailer instead of the actual show #facepalm,1
49159,stop with the crazy excess packaging. #waste #environment,1
49167,I tried pre-ordering Cats&amp;Dogs thru Amazon but it’s not working for some reason :(,11
49175,stupid amount of packaging for 1 small flask,1
49177,I cannot believe such a small item was sent in such a wasteful box. I thought it was a joke.,13
49895,Address verification?Anyone fix it! My billing address is correct and I sended already my bank statemend but nothing happens,1
49904,what happens when you receive this on your door but the bin is empty? Apparently nothing! 😡,1
49906,"In the first sentence, it's dive into and not five into. #GrammarNazi",1
49939,As there's been no one at home since 7am I find this highly unlikely,1
49994,THIS DEAL DIDN'T START -_-,1
49997,Hi when can I be able to watch #TheGrandTour on our my AppleTV? Decembre 2nd for the new season?,14
50763,Why hasn’t my Amazon order been dispatched yet 😩📦,5
50767,#TurtlesAllTheWayDown Et je ne pense pas être la seule...? Has this happened to someone else?,1
50777,"Hi, do you know if there are phishing emails doing the rounds regarding ""amazon prime gold"" membership?",1
50781,Shocking lack of service no one has a clue when you call Amazon,12
51584,any new movie coming ??,13
51593,"Ordered a book from over a week ago. Hasn't even shipped yet, but it's supposedly arriving in a couple of hours. 🤔",1
51599,I am facing a price bug. Not expected. What kind of scam is this.,1
52193,"hi , i bought the pre load version of ww2 for ps4 and i wanted to know when will i get the 2xp code",1
52198,"hello when my brother is trying to order from you ,when typing in his adress its coming up with next doors adress which is wrong",5
52232,Is not carrying the PS4 version of LA Noire? I can't find it.,1
52238,hmmm my positive reviews on Amazon seem to be disappearing?,1
52249,"ordred headphns 28Oct, markd as dlvrd bt nvr recivd d prdct, called Mon wait 24hr,Tue wait 24hr,Wed wait 24hr,poor service no info",12
52251,Having some issues with your jobs portal using social login with LinkedIn.,1
52254,Thank you to your logistics team for smashing our stuff and not leaving a note! Not impressed!,1
52911,My refund is pending for over 1 month. I think I will shift my loyalty to,1
52955,. being prime for years and being treated like this. get you shit together amazon. #awefullcustumerservice #shame #whocares,9
53271,"I’m enjoying the Experience on the dot. However, I’d prefer to stream it through speaker. Alexa can’t manage that, despite repeated attempts. During the most recent attempt, Alexa thought I wanted, um, this:",1
53492,Your company canceled an order for a child’s bday present that was to arrive 10/31 - no one called and support not helping,11
53494,I didn't sign up for Amazon prime to get my order a day late of when I need it. 😒,5
53499,Why cant we watch prime content on mobile devices,1
53510,Ahahaha dear what's wrong with you guys ? #Patanjali aloe vera gel price 😂,1
54377,I am disappointed with and their no response to my problem with Remote that has stopped working,2
54397,I hv placed order of Neocate Powder yesterday. I need it urgently. Plz deliver me asap.,5
54401,ive signed up to prime student about a week ago with 6 months free so why is it saying theres a problem with my card?,1
54422,really bad service in there. I never received an item and it is real hassle that you send it. It is not worth the US$8,12
55035,worst customer support and escalation team. You guys will never change. Always provide wrong information to your clients.,1
55037,When will my pre-order for CoD: WWII arrive? Does it arrive Thursday night for the midnight release or must we wait until Fri?,5
55041,My order still says “Preparing for shipment” and I ordered it October 25. 😔,5
55044,where my AR view at,1
55063,Please tell your Indian division to stop showing Pantry products under Prime results because Pantry does not have free shipping.,1
56862,"My friend bought stuff to deliver to me, the order was incomplete. they say it was signed by HER who was in Brazil.",5
56865,what a load of bullshit no one tried to deliver it!!!,1
56872,Hey being resident of Maharashtra (1 of Indian states). M I eligible to buy/avail today's exclusive redmi 4a sell starting 12pm?,8
56891,hey ! Why did you change Prime Surprise Sweets to standard shipping? It's called Prime for a reason.,8
56942,WHY IS THIS NOV 4 !!!!!!,1
57421,#HearUsAmazon Fed up with garbage returns / No Track on our returns,1
57444,Looking for a new trackball mouse and found this one for $324. I’m not sure it should be that much.,13
57446,Look how decided to ship my $350 Graphics Card. You can't be serious🤦‍♂️.,3
57472,After all this packaging for two items from and yet my vinyl is still bent!,1
57475,Hey my kindle starting advancing left to right instead of right to left. How do I fix that?,8
58079,"Hey, I am in UK and would like to know what Courier is most likely for the Scorpio Edition Xbox, its not been updated yet",9
58087,can I DM you instead?,1
58091,What does this mean?,1
58137,my book came like this? :(,9
58148,Such a poor services of your Amazon customer services your representative told me that i would be eligible for the cashback,1
58153,No matter how loud you cry is not gonna hear sellers. A blind eye approach. Stopping all Ads #HearUsAmazon,1
58763,#HearUsAmazon when an prime residential address is stated as address not found and sales are returned. Thats for sellers.,1
59520,When will iPhone X will be back in stock?,1
59526,"is it possible to renew and pay for Prime membership early, a few months before it needs to be renewed? how do I do that?",1
59567,"This is how I receive my parcels back from ATS, they literally treat these as garbages #HearUsAmazon",1
59585,". you have ppl calling for personal info, that comes off as fraudulent. And rude, she hung up when asked to verify herself.",1
60229,Yoooo my free trial for amazon ended and they charged me $54! I’m sick.,1
60276,I cancelled an order from and they wont refund the credit card rewards I used to purchase. SO ANNOYED,3
60278,"Ummm , why would these two vibrators be added accessories for my T-Outliner trimmer replacement blade?",1
61025,So I change my country of residence &amp; I get charged again for prime services without mentioning that before?! #NotCool #UX 🤬,1
61035,"Cried for 2 hrs straight this evening ‘cause neither or could be bothered to deliver to me. So yes, I am still pregnant.",1
61042,ah nuts forgot to cancel amazon prime before the trial period ended i bet that's how they get like half of their subs,9
61054,"I know I make this complaint regularly, but why is there a direct path from to but not the other way around?",1
62181,Any word on Amazon Video for Apple TV? Bit silly a gaming console gets it first...,1
62391,ordered last Tuesday still not here and cust svc has NO IDEA WHERE IT IS!,1
62418,Updated won’t let me download book I own both in hardcover and kindle format. WTF I need for research now!,6
63123,Hey this isn't cool. Showed up a day late and beat to crap,8
63129,Thanks for nothing,4
63132,. No repsonse from amazon yet. Pathetic services,1
63145,#amazon how many times will u send this? Its not working! 😡,10
63148,"Mom asked me why my order required a three foot box. Good question, Mom.",5
63150,firestick remote voice control works only for prime video but not inside other apps- like . Not efficient,9
63906,Why is showing AV_MOBILE_IOS_DETAILS_AIRDATE_WITH_COLON everywhere? Did you guys get hacked?,1
63923,when is the result for q6 quiz,1
63971,Thanks for delivering my son's main Christmas present with no box or other form of cover. He now knows what he's getting - and that it won't come from Father Christmas,4
64013,I have put my quesries to but dint get any response. You seem very responsive so can you please reply on the same.,1
64037,your companies live chat support is absolutely atrocious. Completely regret being a customer right now.,1
64064,I've received a tampered product...i want my refund asap.. i spent hour talking to your customer support and they were useless,7
65698,"Alright, #Amazon. Ordered a CD. It came broken. Ordered a replacement. It came broken. Ordered a second replacement. Yes, it too came broken. It seems as if fluffy jiffy envelopes don't work as good as cardboard ones. Can't do no more exchanges, alas. Help, !",1
65754,"More like Sub-Prime. Late deliveries, no deliveries, unable to arrange replacements. No pro-active comms from Amazon. All in last 3 months at AB30 postcode.",9
65763,why does the refurbished black kindle not ship to Northern Ireland but it’s the white one does?!🤷🏻‍♀️😐,6
65834,I'm never buying from a third party seller on again. I took a chance on one that had 99% feedback and they're trying to pull a fast one on me.,2
65856,Annoyed with . Why do you charge post and packaging for every item when they are ordered as a batch to the same address! #annoyed #daylightrobbery,13
65879,Who do you know is as impatient as this? #amazonpay #instantpayment,1
65903,"BBC Radio 4 Keeps dropping out using TuneIn. Amazon must redirect Radio 4 to another server until this is fixed. Come on Amazon, remember “Service”? #echonightmare",12
67427,could you please provide me whose delivering this and his number cause I gotta leave my house soon,1
67443,I bought a product in July. It's now broken. But there's no option to get a replacement or raise a complaint. What do i do?? !!!,7
67448,"I hav an idea that will encourage sellers to sell globally. how about Introducing a new feature in the ""amazon pay"" so sellers can load funds for the subscriptn fees as many sellers still hesitate for Intl Credit Card due to several reasons this might surely help them",3
67453,Why have I been charged even though I cancelled my membership! I had a prime trial &amp; then cancelled it way before renewal. WHY?!?!,1
67478,Was was soll ich tun 😭😭😭,1
67507,Why your incompetent and reckless couriers keep leaving our parcels unattended?,1
67512,requested for a replacement of an order after I received the used item. Instead I was asked to send the item to given address even though I've asked for alternate pickup address. Item being a power bank cannot be sent through post.,13
67541,"not a happy customer, been charged £80 for amazon prime!!! which I haven’t signed up for?",1
67544,please add an off and volume control buttons ...,1
67550,Thanks . Bound to score bonus points with this top gift suggestion #giftsforwomen #amazon #happychristmas,4
