query_id,query_text,query_intent,rank,retrieved_conversation_id,retrieved_customer,retrieved_reply,score,relevant
5,Amazon delivering packages today at driveway. Didn't bother putting by front door or behind brick wall. At least they didn't get stolen. Guess they are trying to get everyone to get their home access kit installed. Glad I saw them before it was dark.,delivery_delay_or_missing,1,169620,Amazon trying to get slick by taking a picture of “my front door” saying they delivered my package. B that not even my house! 😂😂,I'm sorry for the trouble with this delivery! I'd like to have a member of our team look into this on your behalf. Please send us the order and tracking numbers here: ^SB,0.691,1
5,Amazon delivering packages today at driveway. Didn't bother putting by front door or behind brick wall. At least they didn't get stolen. Guess they are trying to get everyone to get their home access kit installed. Glad I saw them before it was dark.,delivery_delay_or_missing,2,453181,seriously? Not even up to the door? No wonder packages get stolen when they are left in your driveway! #lazy,Thank you for bringing this to our attention; who was the carrier listed for this order? You can find this information here: ^WM,0.682,1
5,Amazon delivering packages today at driveway. Didn't bother putting by front door or behind brick wall. At least they didn't get stolen. Guess they are trying to get everyone to get their home access kit installed. Glad I saw them before it was dark.,delivery_delay_or_missing,3,470105,"after asking amazon not to leave packages outside my house to get stolen what happens? Left on my doorstep. I've had packages stolen because they are left in bins, doors and alleys. I am now a target!! Which I'm less than happy about.","I am very sorry to hear this, Leon. Can I ask, can you tell me who sold and fulfiled this order please? You can find this info here:",0.671,1
5,Amazon delivering packages today at driveway. Didn't bother putting by front door or behind brick wall. At least they didn't get stolen. Guess they are trying to get everyone to get their home access kit installed. Glad I saw them before it was dark.,delivery_delay_or_missing,4,98634,"Fed up w/ &amp; #AmazonLogistics! Packages are routinely being delivered to the WRONG houses, left in driveway, &amp; thrown into bushes. Multiple examples of this in my neighborhood every day. We should not have to re-deliver packages to our neighbors! #terriblecustomerservice",We'd like to make sure this is escalated for you. Please send us your details at this link here: ^VS,0.664,1
5,Amazon delivering packages today at driveway. Didn't bother putting by front door or behind brick wall. At least they didn't get stolen. Guess they are trying to get everyone to get their home access kit installed. Glad I saw them before it was dark.,delivery_delay_or_missing,5,160258,How is Amazon gonna say they couldn't deliver my package due to no access when I live in a building with a 24/7 concierge? 🤔😒,I'm sorry your order was delivered! Can you please tell us who the carrier is? You can find this information here: ^AC,0.655,0
6,Amazon is not giving satisfactory answer to that one of my order for purchase of mob one plus 5. Nither the amount of rs30627/- is being refunded nor mob is delivered. Will the owner of the Co see to it and issue instructions to the concerned to decide the issue,delivery_delay_or_missing,1,442836,Sir I have placed 6 order and I am getting 600 re cashback out of that I received 100 rs so now you have to give me 500 rs and you had give me only 400 rs where is my 100 rs cashback Respond me Call me back My mob no is 9424831719,"I certainly understand your concern. As said earlier, please reply to the email correspondence which you have received from us with your further insight and we'll reach out to you with an update on that. Appreciate your understanding. 1/2 ^HS",0.594,0
6,Amazon is not giving satisfactory answer to that one of my order for purchase of mob one plus 5. Nither the amount of rs30627/- is being refunded nor mob is delivered. Will the owner of the Co see to it and issue instructions to the concerned to decide the issue,delivery_delay_or_missing,2,69721,"plz expedite the delivery of my order placed by mob no- 8010757001. Its urgent, you guyz didnt even give me option to pay 1 day delivery charge as well. Its my first order with u. Dont brk my trust. reaching twitter almost brks it.","I get your concern about the order, Talha. We ship &amp; deliver orders as per the estimates shared with you. Please wait till the estimates, I'm positive your order should be delivered soon. Appreciate your understanding. ^KH",0.584,1
6,Amazon is not giving satisfactory answer to that one of my order for purchase of mob one plus 5. Nither the amount of rs30627/- is being refunded nor mob is delivered. Will the owner of the Co see to it and issue instructions to the concerned to decide the issue,delivery_delay_or_missing,3,439660,.in I have returned my product by price RS1199 but till now I have only got rs305. Customer care is not accepting my call,Apologies for the ordeal Guriqbal. Please share your details here: and I'll get back to you. ^HN,0.578,1
6,Amazon is not giving satisfactory answer to that one of my order for purchase of mob one plus 5. Nither the amount of rs30627/- is being refunded nor mob is delivered. Will the owner of the Co see to it and issue instructions to the concerned to decide the issue,delivery_delay_or_missing,4,447153,"One item they have not said anything about it but there is no new order on my account for it and it doesn't say refunded. Also another item that says its just fulfilled by Amazon but doesn't say if I'm getting a replacement or a refund for It? Such poor service, disgraceful","Apologies, Jon. Please get in touch with us here: so we can take a further look into this. -Conor.",0.568,1
6,Amazon is not giving satisfactory answer to that one of my order for purchase of mob one plus 5. Nither the amount of rs30627/- is being refunded nor mob is delivered. Will the owner of the Co see to it and issue instructions to the concerned to decide the issue,delivery_delay_or_missing,5,42538,what about refund for order returned? Kindly initiate asap,Our support team would be happy to help you out! Please contact us from here: ^MP,0.563,1
7,my kindle not working is the last f*cking straw.,device_or_app_technical,1,1745,My Kindle not working properly is breaking my heart! 😩💔,"Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ",0.791,1
7,my kindle not working is the last f*cking straw.,device_or_app_technical,2,234111,Uh oh...kindle won't turn on,Try holding down the power button for 30 seconds or more. Then turn the device back on by hitting the power button again. ^EM,0.748,1
7,my kindle not working is the last f*cking straw.,device_or_app_technical,3,44530,Why isn’t my kindle unlimited working,"Oh no! What specific errors are you running into when trying to access Kindle Unlimited? Please let us know, Breana! ^FD",0.705,1
7,my kindle not working is the last f*cking straw.,device_or_app_technical,4,470170,"Half of my ‘Kindle’ screen has gone, I am 1/4 way through a book, what can I do?? ??",Hi Jim! Did you try the following steps:,0.7,0
7,my kindle not working is the last f*cking straw.,device_or_app_technical,5,133692,&amp; my old kindle is damaged and slow and grey,On certain occasions it's OK to treat ourselves 😊 Enjoy the sales! ^CR,0.69,0
8,Why would stop working on our new tv? #anyhelp #amazonvideo #amazon #samsung,device_or_app_technical,1,357381,"This problem, which Amazon seems not to want to fix. I purchased Amazon prime to be able to watch on my new TV, but I can't",We'd like to troubleshoot with you over phone or chat: We're available 24/7. ^MG,0.706,1
8,Why would stop working on our new tv? #anyhelp #amazonvideo #amazon #samsung,device_or_app_technical,2,274739,I can’t stream amazon video on my tv anymore it’s frozen every time I try.,I responded to your DM! ^LA,0.677,0
8,Why would stop working on our new tv? #anyhelp #amazonvideo #amazon #samsung,device_or_app_technical,3,416734,"hello! I'm using a Samsung TV all other apps work but amazon doesn't load. Tried to refresh internet, no luck!",If you get in touch we'll see if we can go through some trouble-shooting: ^BM,0.672,1
8,Why would stop working on our new tv? #anyhelp #amazonvideo #amazon #samsung,device_or_app_technical,4,113795,"Amazon video app won't play on smart TV. All loads up OK but as soon as I choose a programme and press play, it just reverts back to the tv...can anyone help?",Hi. Has this just started happening or have you always had this issue? Is there any error message or just back to normal screen? ^NV,0.672,1
8,Why would stop working on our new tv? #anyhelp #amazonvideo #amazon #samsung,device_or_app_technical,5,416734,My Amazon prime won't work! Highly irritating. #amazonprimevideo #Amazon,"I'm sorry to hear this! Are you receiving an error, and what device are you using? ^BH",0.669,1
9,at its worst again... You people can never improve.. lairs..,general_complaint,1,285588,"U r not so capable n nor ur executive to improve, u can just capable of making it more worse",Please allow us a chance to help resolve your issue. Could you tell us what went wrong? ^NR,0.47,1
9,at its worst again... You people can never improve.. lairs..,general_complaint,2,343872,"How much ever we write its looking waste, i don't see any improvement.",That's quite a remark. We'd like to help you. Please share your details through the below link for further assistance. ^NK,0.343,1
9,at its worst again... You people can never improve.. lairs..,general_complaint,3,225015,Stop making fool of people,We would like to make things better for you. Kindly fill the form for us to help you. ^CB,0.337,1
9,at its worst again... You people can never improve.. lairs..,general_complaint,4,333174,Better u speak 2 Gowri Ganesh &amp; someone name Muzzamil in ur CC team. don't av enough patience 2 explain whole story #PatheticAmazonPay,I apologize for the trouble. We've sent a correspondence to your registered email ID. Check here:,0.327,1
9,at its worst again... You people can never improve.. lairs..,general_complaint,5,224939,"Yes Everytime we report bt do nt get any solution,just get fake assurance tht it wil nt happen nxt time.Bt Shockingly happens.No improvement","In that case, please drop your details here: we'll get back with an update. ^HT",0.327,1
10,why are your drivers so lazy?,general_complaint,1,5131,"the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month!","I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: ^CC",0.575,1
10,why are your drivers so lazy?,general_complaint,2,385364,what is the point in having delivery instructions if your drivers ignores them?,"Sorry to hear this. Without sharing personal/account info, can you please advise what happened ? ^TD",0.561,1
10,why are your drivers so lazy?,general_complaint,3,207555,"I am! and they are also useless! 3 Fridays one after another asking where my items are, do you not investigate your drivers?",When you reached out to us were we able to offer you any options on what can be done on your orders? ^VS,0.539,0
10,why are your drivers so lazy?,general_complaint,4,432288,"...but never actually turning up at any point... Oh wait, you mean what help was offered rather than what your drivers have actually done.",We'd like to have a member of our team look in to this with you! Pls leave your details here: ^KN,0.531,1
10,why are your drivers so lazy?,general_complaint,5,207555,I want answers not options! Wheres my stuff and why does it keep happening? Investigate your drivers,I'm glad you've contacted so we can provide carrier feedback. Did we issue a refund or ask you to wait a little longer? ^RA,0.53,0
11,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,how_to_or_feature_question,1,323338,.... Can u guys let me know why my review for the product has not been posted...Do you not accept reviews which are bad for u!!,A review may get rejected if it doesn't adhere to the guidelines mentioned here: ^MS,0.647,1
11,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,how_to_or_feature_question,2,24484,"why do i keep getting emails saying ""thanks for reviewing this product"" when IVE NEVER WRITTEN A REVIEW ON IT?!?!?!",Hi Ellen. Which Amazon site are the mails from? .co.uk etc. ^DC,0.642,1
11,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,how_to_or_feature_question,3,275871,I love how won’t allow you to post a negative experience on a product review ...,"Hi, in this case the review needs to be specifically about the product, click here: for info ^AS",0.634,0
11,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,how_to_or_feature_question,4,358832,"If I give negative ratings as product reviews according to my experience, Amazon mailed me it can't be posted. Why so?",If the review doesn't adhere to the guidelines as mentioned here: and we'll reach out. ^MS,0.632,1
11,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,how_to_or_feature_question,5,269865,Criticise all products but don’t comment amazon’s delivery &amp; shipment feedback ... wow,I understand your concern. I'll forward your feedback to the team concerned for review. ^HD,0.623,1
12,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",how_to_or_feature_question,1,277270,"No it's a notification cos I have the Amazon app (I've seen similar things before, all for items I've never shown any interest in)","That is strange, sorry about that! You can edit and improve your recommendation settings here: ^JE",0.474,1
12,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",how_to_or_feature_question,2,344861,"yes, it was an email reward for downloading the amazon app. not for a specific item but it just has to be sold by","(1/2) Items sold by third-party sellers are ineligible, items must be sold and shipped by Amazon directly.",0.465,1
12,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",how_to_or_feature_question,3,235728,how product price changes frm cart while billing? M prime user dont say delivery charge 😡 #AmazonIndia #cheater #lightningCheater,in 15 minutes of adding it to cart. Report it to our support team if you've done the same: ^JC (2/2),0.451,1
12,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",how_to_or_feature_question,4,224643,How to buy a product using Amazon pay balance?,Kindly get in touch with us here: and we’ll be glad to help you. ^AG,0.439,0
12,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",how_to_or_feature_question,5,89218,I just need to know how to turn off pop up notifications on my devices linked to my amazon account when something is shipped or delivered.,"If you'd like to remove this notification on a device with the Amazon app, you can do so from the app's menu. Please choose Settings &gt; Notifications &gt; Shipment Notifications. If you have an Alexa device, please follow the steps listed here: ^RA",0.439,1
13,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,order_status_or_tracking,1,191700,"when do i receive my star wars battlefront 2 beta code, ordered it this morning #Amazon #amazonhelp",Thanks for contacting us today! Please reach out to us here so we can investigate this together: ^TG,0.809,1
13,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,order_status_or_tracking,2,237544,"Yo, Amazon. Do you know when Battlefront 2 Beta Codes are being sent out? (Should be today, but still nothing)","Hi, when did you place your order? ^BM",0.807,1
13,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,order_status_or_tracking,3,230859,"hi, I preordered battlefront two from you yesterday and I haven't receiver any beta codes as of yet, when will they arrive?","Hi Ben, orders for Battlefront 2 on or before the 3 Oct will receive beta access. After this date, you're not eligible ^TP",0.798,1
13,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,order_status_or_tracking,4,178488,be nice if you sent out codes for the star wars battlefront 2 beta I pre ordered in April.,I'm sorry you haven't received your code! Have you checked the spam/junk folder in your e-mail? ^DD,0.778,1
13,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,order_status_or_tracking,5,237450,I’ve preordered Battlefront II - but no sign of the early beta code yet. When are these being sent out?,Please contact EA. ^MC,0.769,0
14,can you explain what delayed due to 'external factors' actually mean and how you expect people to contact you?+,order_status_or_tracking,1,140951,after waiting in all day my delivery never arrived yesterday tracking says delay in delivery due to external factors. What does that even mean,"Hello, Lana. I'm sorry you haven't received your order. That's not the type of service we aim to provide. Please let us know if you don't receive your order within the new delivery window. ^FJ",0.699,1
14,can you explain what delayed due to 'external factors' actually mean and how you expect people to contact you?+,order_status_or_tracking,2,109819,"It just says ""delayed due to external factors"" both of the times it has been out for delivery",What does tracking say who the carrier is? You can find that under your orders here: ^MH,0.69,0
14,can you explain what delayed due to 'external factors' actually mean and how you expect people to contact you?+,order_status_or_tracking,3,311062,"Never used to have delays with you, and even now, most arrive on time. But that makes issues more obvious.","Have you been able to report this to us? If not, we're available 24/7 here: ^EP",0.588,1
14,can you explain what delayed due to 'external factors' actually mean and how you expect people to contact you?+,order_status_or_tracking,4,140951,Its not been updated since 9:15pm last night and says delays in delivery due to external factors,Please contact us directly using the following link: so we can look into this for you.^SM,0.567,1
14,can you explain what delayed due to 'external factors' actually mean and how you expect people to contact you?+,order_status_or_tracking,5,63871,"""From Amazon Shipping at Wednesday, 29 November. Delay in delivery due to external factors"" External factor being courier I guess.",Thanks for checking for us. Seems the delay is with the carrier. Please keep us posted on this today and let us know when your order arrives. Thank you. ^NV,0.558,1
15,"Amazon requests an authorisation for the total amount of an order, but sometimes when the charge is due the bank issues us with additional funds... From Amazon rep to explain overcharge!!!",payment_or_gift_card_issue,1,102984,Amazon customer support continuing to try to process charges onto my account with out my consent. Is this how supports their customers. #amazon #badservice,"I'm sorry to hear this is your experience with us! We'd like to help. Without posting personal or account specific information, could you tell us a little more about what's going on? ^BL",0.681,1
15,"Amazon requests an authorisation for the total amount of an order, but sometimes when the charge is due the bank issues us with additional funds... From Amazon rep to explain overcharge!!!",payment_or_gift_card_issue,2,247431,Hi. The amount is being charged again from last two months. Bank people need communication from amazon that you are not receiving amount,I'm sorry about the inconvenience. Kindly contact us here: We'll sort it out right away. ^OS,0.664,1
15,"Amazon requests an authorisation for the total amount of an order, but sometimes when the charge is due the bank issues us with additional funds... From Amazon rep to explain overcharge!!!",payment_or_gift_card_issue,3,63863,Absolutely wrong practice by Amazon India. Order#407-6746802-0925919. Item 1: price 149 while placing the order. Charged Rs. 25 for shipping on delivery. New way to cheat...very small amt but new way to overcharge... SHAME,I understand your concern regarding the delivery charges. Orders with items that are Fulfilled by Amazon worth Rs. 599 or more will qualify for free delivery. Please refer here for more info:,0.66,0
15,"Amazon requests an authorisation for the total amount of an order, but sometimes when the charge is due the bank issues us with additional funds... From Amazon rep to explain overcharge!!!",payment_or_gift_card_issue,4,80532,What the hell is this? How come a bank comes into the picture where I paid the whole amount from my Amazon Pay Balance? Make yourself aware about your own Amazon Pay Balance otherwise you can't help anyone.,"I'm sorry about the previous Tweet, we would like to know your concern in detail. Write to us here: &amp; we'll take necessary actions to make things right. ^MJ",0.66,0
15,"Amazon requests an authorisation for the total amount of an order, but sometimes when the charge is due the bank issues us with additional funds... From Amazon rep to explain overcharge!!!",payment_or_gift_card_issue,5,318878,Amazon charged me twice 😒,"Hi, is it possible that you are seeing an authorization on your statement: ^JJ",0.651,0
16,"I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???",payment_or_gift_card_issue,1,354385,"Not able to add money(Amazon Pay) via debit card, same page load again &amp; again tried sever times",That's strange. Please report this to our support team here: and we’ll be glad to help you. ^NK,0.681,1
16,"I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???",payment_or_gift_card_issue,2,327030,Amazon pay failed. Money Deducted Twice from my account and customer care told that deducted transaction is not showing to them.,Sorry for the hassle Manish. I'll surely pass on your feedback to the concerned team internally. ^HN,0.671,1
16,"I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???",payment_or_gift_card_issue,3,323766,Im not able to add money to AmazonPay thr DebitCard. Im being taken to same page after filling the info.#AmazonGreatIndianFestival,Allow our support team to investigate this. You can report this here: ^CB.,0.667,1
16,"I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???",payment_or_gift_card_issue,4,281422,I'm having trouble in adding money to Amazon pay with rupay debit card,We're sorry to know about the trouble. Please contact us here: and we’ll be glad to help you.^RS,0.655,1
16,"I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???",payment_or_gift_card_issue,5,442808,why rupay debit card are not available in amazon pay they show error,Rupay Debit Card is available as a mode of payment on Amazon website. Request to refresh your account and retry payment after a couple of minutes. ^SF,0.654,1
17,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,return_or_refund,1,325448,Had to stay in all day waiting for Amazon to deliver a parcel and still item not here,I'm sorry for the wait. Our carriers deliver until 21:00. Please let us know when your parcel arrives. ^RA,0.672,1
17,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,return_or_refund,2,382823,My package still hasn’t arrived. This is now past a joke. Next day delivery? I’m going away and needed my parcel today. Not impressed at all,Deliveries occur until 21:00. Please keep us updated! ^AB,0.658,0
17,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,return_or_refund,3,162096,said they couldn't deliver a parcel today because no one home. Husband and son veg to differ - now I've no parcel :-(,"I'm very sorry you never received your parcel. We're unable to access your order and account via Twitter. At your convenience, give us a shout here: We'd be happy to assist with your order in real-time. ^SK",0.637,1
17,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,return_or_refund,4,260829,"This delivery still hasn't arrived, four days after it was ""arriving today.""","I'm sorry you haven't received your order. We'd like to go over your options, please contact us: ^CO",0.631,1
17,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,return_or_refund,5,63856,That's how delivered a parcel to us yesterday. Not impressed.,I'm sorry to hear about the poor experience. Have you contacted us directly about this? What was advised? ^MI,0.629,1
18,Cancel this product before one week.. no one come to collect.. worst experience get from Amazon #AmazonIndia,return_or_refund,1,274014,Pay via bank &amp; wait for the cancellation email. Complete waste of precious time but no one cares. #wasteoftime #Amazon #AmazonIndia #failure,Sorry about the trouble. I'll forward this feedback to the team concerned for an internal review. ^HD,0.685,1
18,Cancel this product before one week.. no one come to collect.. worst experience get from Amazon #AmazonIndia,return_or_refund,2,382395,but sir do not cancel my product at any cost......i want it......you have to get it delivered to me,Kindly check the correspondence sent to your registered e-mail id and get back to us. ^RD,0.674,1
18,Cancel this product before one week.. no one come to collect.. worst experience get from Amazon #AmazonIndia,return_or_refund,3,391207,I am now forced to cancel the product because I got fed up with service.,Apologies for the delay. Please report this to our support team here: and we'll look into this. ^HD,0.664,1
18,Cancel this product before one week.. no one come to collect.. worst experience get from Amazon #AmazonIndia,return_or_refund,4,367474,The product finally came in today. Had already asked for a refund which can't be cancelled. Currently double charged waiting for refund.,What options were we able to provide you when you contacted our customer support team? ^WM,0.663,0
18,Cancel this product before one week.. no one come to collect.. worst experience get from Amazon #AmazonIndia,return_or_refund,5,458936,how i cancel my order and amazon still snatch the money out my acc 😐,"We do not charge you until your order is being shipped. If you have successfully cancelled the order, you're likely seeing a pending authorization, which will be applied back to your account in accordance with the card issuer's policies for pending authorizations. ^LL",0.649,1
19,"Come on gift me at least once in any of your contest #AmazonPayQuiz ,let this prime subscription worth it.☺️",subscription_or_membership,1,129245,You Should be Mention That Contest Is Only For Prime Members Of Amazon..! Because No One Won Any Contest From Non-member.! #contest #Amzon,"The contests held on our website are ideally held for all the customers, irrespective of the prime membership. The winners are selected through random draws. Appreciate your understanding. ^EM",0.714,1
19,"Come on gift me at least once in any of your contest #AmazonPayQuiz ,let this prime subscription worth it.☺️",subscription_or_membership,2,440295,please don’t avail the amazon prime membership! It is USELESS. It is just a trap! 😡😡,We've responded to you via DM. ^SG,0.637,0
