conversation_id,clean_text,cluster
3749,why your videos on Germany breaks too?,0
3759,you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡,12
4788,So sad ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,5
4829,website impossible to navigate - all I want to do is email about a faulty item - 20 min going round in circles. Infuriating 😡😡😡,14
4831,", hi, I've bought an Amazon echo for for a present do they also need an Amazon alexa?",18
4835,. said they delivered #ADSOM but it's not there. Yet another annoying thing to deal with today 😢,10
4859,Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,3
4861,"To the person or persons that stole that big, heavy Amazon box of my porch today: enjoy 200 13 gallon garbage bags!",10
4864,"Hey , maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!",11
4868,Ordered one simple camera from 3x and all the 3x it’s been lost in transit. Ha you’ve got to be kidding me.. 😒😒😒😒😒,16
4954,"Got 2 packages delivered today from via their AMZL service. One package gets dumped at Leasing Office, which is not the address on package &amp; 1 package gets delivered to address on package, which is my apartment. 2 drivers, different results. I was home all day.",22
4957,"I swear Amazon are trying to annoy me, I've just ordered another package and had a shipped to wrong carrier facility message again and my order may be delayed. 1st echo dot and then 3 packages lost and now another echo dot possibly delayed.",18
5119,#Amazon who packages these games. Ordered to games and both came rattling inside their cases. One is broken. Games may have suffered scratches.,7
5125,I was just assaulted by an Amazon delivery person.,1
5131,"the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month!",24
5134,still don't know if my order has shipped or not.. BUT at least I'm a good person!,11
5137,WHERES MY PC CASE AMAZON. Are loss memes organic.,0
5139,Just ordered . Let’s see what gets here first. My package from which has been “On It’s Way” since 1:22am or the food. #TheRaceIsOn,1
5149,Trying to get a friend's playlist on my Amazon music app but it keeps giving me the following message,13
5159,"Hit ❤ or re-tweet to get notified when the OnePlus 5T sale begins, exclusively on Amazon. Stay tuned to get #ANewView.",0
5285,hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,15
5300,Just had my first Prime Now delivery. 2 hours flat 👏👏,1
5304,"I have 2 echos and set up multi room music playback. How do you switch back and forth between multi room audio and playing on only one? Sometimes I like whole house, sometimes I don't want to wake up my wife. #echo #alexa",18
5315,Someone keeps trying to buy playstation cards on my account. Having a hard time getting customer service,6
5323,Get 3 months of Amazon Music Unlimited for only $0.99! Limited time only.,4
5331,live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,24
5789,"I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",0
5796,I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭,0
5801,"I lost my signal while searching something in and since the page didn't load, this shows up...I am not even mad. #DogsForLife",0
5803,#HappyHalloween2017 from your biggest fan. Thank you for creating #efficient and #healthy households nationwide!,0
5806,Lots of folks (even w/Prime) reporting they will not receive The Final Dossier today from . #Disappointing,10
6966,So for the 4th time the package I ordered was tossed onto my property instead of being left on my front porch. It was raining. Package wet. I’ve complained repeatedly to no avail. Since Amazon switched from USPS to local delivery Svc the SERVICE is terrible.,22
8511,UPS supposed to pick up a return package yesterday and bring return label... never showed.,20
8513,"when you can't get my Prime order to me on time, what happens? I needed it on time! It's a gift! Your courier not up to the job?",4
8524,my original echo some time say things without asking here anything ! This is really wired and creepy and scary!!,4
8527,I know it’s nearly xmas but seriously I ordered a book from due to arrive 23rd Oct and still don’t have it or know where it is???,11
8537,why do I pay for 2 day shipping and it's going on 4 days.,8
8540,pls investigate ur satara (Maharashtra) amzn staff or ur reputation is doomed in the region in long term.,0
8581,hi I cancelled an item today but the money has not shown back up in my bank yet can you tell me how long it takes?,17
9120,I’ve had nothing but trouble with 2/3 of my orders this month and I’m starting to doubt my continuing my prime membership,23
9129,It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,14
9132,Haha has been sneakily charging me $9.99 SINCE FEBRUARY for a service I never use💩🙈👎 $90 gone!!! Thanks,0
9137,Had a package scheduled for delivery today and it didn’t come I’m not happy,10
9147,"order ID ending with 5148337, I paid ur delivery guy 1000 Rs for a 690 Rs order, asked him to add 310 to wallet, Y s it not done?",21
9767,"Worst experience in shopping no product no refund , been 40 days. F&amp; it",5
9781,"I seem to have bad luck in trying to get undamaged books from . Sometimes it's damaged in delivery, but this one was packed this way.",2
9784,", #fake I phone 7 received from amazon , India - order ID: amazon India has refused to replace pictures attach herewith.",18
9788,please teach Alexa slang. I've been trying to play Momentz by gorillaz for the last 30 minutes.,0
9791,Ordered cases for our new iPhone X and sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed,0
9794,I was incredibly disappointed with my customer service call w after my order was 2x delayed and lost.,6
9796,The reliability of 2 Day Prime is hitting an all time low. Not sure what is going on over there.,4
9799,Why can't the updates move properly,0
9807,", #fake I phone 7 received from amazon , order India - order ID: 171-8960684-6076325, amazon India has refused to replace",21
9817,Please explain this,0
9821,so I pay extra for overnight shipping and you guys are gonna delay my package for another 2-4 days? i'd like a full refund 1/2,5
9823,thanks for the new movies on Prime video. Something new to distract from pain during CRPS flare ups #TheWitches 🌙🎃,0
9959,worst customer service; got hung up on twice,6
10321,"I have a package that is showing as delivered last Friday, however it has not been and there is no note. Thanks",24
10624,Anyone else see an odd looking website? It looks very different. Not wrkng as easily and lots of red text,0
10626,I love my new Kindle Oasis! Please tell me that immersion reading will be added in a future update?!,0
10629,why doesn't blue light filter work on kids account on the fire kids edition?,3
10634,How does amazon have late shipping? Multi billion dollar company,0
10647,"paid for next day delivery.. had it confirmed and alas, no package #nothappy",12
10653,hey why did i pay extra for shipping only for my order to say 'arriving today' and it still hasnt shipped yet just wondering.,10
10658,"Hey yall. Why is my checkout not working? I click ""checkout with fresh"" and it takes me to an error page. What's the deal?",0
10660,My package from was supposed to arrive today. Now it not coming till Friday. Why the hell do I pay for prime. Doesn't do shit.,10
10662,where’s my damn nutribullet,0
10665,Hi is there a way to confirm that I make sure my pre-order of WWII gets here on time? Last year was day late.,4
11017,Hey What’s the point of preordering a game if I don’t get it until 5 days after release?,11
11024,"u just lost a prime member of many years. Not only did u mess up 3 consec orders, u refuse to make good on them.",23
11036,"Uhh... my 10 y/o just asked Alexa to play Halloween music. First song opening lyric: ""yippee kiyay motherfucker."" Wtf ??",1
11039,I'm so anxious to see that my Xbox one X will be shipping. I'm seeing other people get their confirmations. Where's mine,8
11044,you keep insisting you havnt taken any money from me dispite proof! #givememymoneyback,17
11046,at 7 it said it was out for delivery by 8 pm. It now says sorry for your package being late and will arrive by November 3rd,22
11053,it's been 7 days &amp; my order still hasn't shipped. #fail,5
11060,still have not received my package I paid extra for guaranteed next day. Won't do that again,22
11070,Pumpkin spice is here so it must be autumn! We’ve picked 3 fall cookbooks to whet your appetite:,0
11073,isn't prime two day shipping supposed to be guaranteed? what happens when its late?,8
11079,"I'm thinking that tracking is total fiction - package has been ""Out for Delivery"" for 2 days &amp; hasn't arrived. 3 days late.",5
11085,I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,0
11090,My drying rack was broken when I opened the box. What should I do ?,0
11590,my Amazonid is __email__ is blocked since 3months please unblock it.,0
11594,Bit of a piss take really now - was promised it by 9pm today.,10
11597,don't promise a 1 day shipping with a GUARANTEED 8pm delivery when you can't keep it,8
11600,#Halloween #goldenretriever #dogs #puppy 6 month old service dog Halloween,0
11603,"My order 113-8951188-2020217 says ""Left in mailroom"" but my house doesn't have a mailroom and I've been home all day.",0
11619,how do I inform your delivery drivers to just leave my package at my front door?,22
11974,My Halloween costume is a day late. Can you help?,15
11976,Seriously what is up with ordering things and it being open? You guys shipping returned items. 2nd day in a row this happens :SMH:,0
11979,don't promise a 1 day shipping with a GUARANTEED 8pm delivery when you can't keep it,8
11982,what the hell is going on?! Today's last day to deliver and still not shipped!! Should I pledge that I won't ever order from u?!,10
12496,WTF MAN. YALL LET SOME RANDO CHANGE MY EMAIL TO MY ACCOUNT AND NOW I CANT LOG IN. FIX IT!!!!!,14
12505,How do I disable notifications indicated by the bell icon in upper left corner of iOS Kindle app?,13
12509,thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized,0
12511,why to you promise false discounts with wrong mrp ...the device I bought showed a mrp of 7999 when its actual mrp is 7499,21
12549,Changed your mind about something you bought? Have no fear. Replace products with ease on Amazon.,0
13167,"Unable to what they promised not gave one plus 5 offer only sale product after they Dont care also not return back,Its hopless😡",20
13170,why is your AMZL US shipping service not show more updates online? I had another package with this not delivered.,24
13173,STOP USING THE They are a useless government entity.,0
13180,y'all gotta get rid of AMZL and try again,0
13186,. support is sure going down hill. 6 hours later and still no call and I'm a Prime member,0
13189,"Hi , I’ve purchased something via your app and it’s broken! How can I get it replaced?",13
13558,any idea when this order will arrive? I have a sassy Brit since grocery stopped carrying his #teatime #isthisatrick,0
13560,"Got Prime, won't leave package at the door. Rode my bike across the city to up my package. #homedelivery",22
13563,when do you guys charge for the Xbox one X I preordered? It ships the 6th.,0
13567,it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !,0
13569,you have a problem in your website =D,0
13576,Ordered a camera; Shortly after received call from 206-508-4014. I didn't answer.. I immediately received an email from...,14
13897,Please monitor your customer care dept. Its like fighting a war.,19
13900,is there a way to know if the Amazon gift cards I send are being used?,0
13903,I lose faith in humanity on days like this. My friend sends me a 🎁 from after a crappy week and I come home and it’s been stolen.,5
13911,"What is this ?? Is this the way you treat your customers?? Seriously, I want an answer from you",0
13919,"I ordered the Oasis, my order status showed it was to be delivered today and it did not come. Very disappointed.",10
14022,supervisor Jennifer just hung up on me after refusing 2 provide protocol 4 handling the GreenInsulatedCarriers AF delivers in. downtown Condos need 2 understand how 2 work w/this new service R small front halls R not designed 4 this service. Was hoping 2 collaborate,1
14281,"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer . Unhappy!",14
14287,I'm absolutely mad right now that has said nothing about how Pay has charged me multiple times on subscriptions.,0
14289,u need2 srsly consider cutting ties w/ nothing but probs they deliv sum1 elses package now I'm gettin the run around 2get mine,22
14291,What the hell ?! This boxed is beyond damaged. I wanted a new one!,0
14294,logistics doing a laughably terrible job of delivering my package. Anyone else noticing a serious dip in customer service?,6
14303,"ordered what was on the box for my sister’s wedding gift, that’s what came out of the box. What gives?!",0
14845,"yo , how can I get my echo to answer to the name Janet?",18
14855,407-8406190-7752345. i want refund amount -1399/- amazon seller was lying. amazon custamare care side also.,21
15140,Another night. Another non-delivery. Another useless ‘chat’ conversation with false promises and excuses. - you have let me down yet again. Your promises are full of shit. #whereismybloodystuff,2
15268,. thanks for no replies whatsoever on my complaint.an you please tell me what more should I do?,0
15277,ur app shows expected delivery on 25 th on 30th( prepaid orders).it's a regular customer realising not to buy anything further.,23
15279,408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,21
15286,I ordered a ghilie suit with one day shipping for Halloween 3 days ago and guess what can’t do anything now because I don’t have it,8
15304,"I waited 15 days,sent 10 email,was assured tht case escalted,todays response WE CANNOT HELP,customer service?",6
15306,"Hi , when I placed my order I requested a VAT receipt either via email or post but I still haven’t had one?",14
15447,thank you for delaying my package again and again. Not like I wanted it or anything,22
15668,#SuperValueDayQuiz Where is the result of super value day quiz conducted on Oct 1 and 2 ?,0
15672,"Fool me twice! Another kindle release day, another missed ""guaranteed release day delivery"" #AMAZONFAIL",12
15678,"Dear #Amazon #GlobalStore. 50 days, No delivery, No response.",5
15681,everytime I try to purachase something my account will get blocked.. worst service ever. sorry to tell that.,3
15692,"Haven't received my refund, it's been more than a week",0
15700,Hey I need an update on my refund! Can you help?,15
15704,. don't say you'll deliver the next business day then come back the same day. I won't let someone in my building I'm not expecting.,11
15707,have a query regarding cash back during 14-17 October sale. Email/DM ?,14
15709,Purolator put my Amazon order on the wrong truck so now it's not getting her until tomorrow =(,0
16101,Thanks for solving my issue . But after 8 day it's really long time you took to solve . But #thanks,4
16105,"Yerwada, Pune delivery folks r habituated/instructed to mark package delivered, wen customer not reachable n product nt delivered",24
16110,My package still doesn’t have a tracking number I ordered last week...and no updated email just says not shipped ...,14
16117,No speedy respnse frm the seller side..I asked 2 return my money but they are not ready 2 clr my issue i need my query to b solved,20
16125,Never buy large appliances from as they DO NOT provide installation service. #CustomerInconvenience #ApniDukan? #Fail,0
16424,"My package we supposed to be delivered yesterday, but I wasn't home so the courier left a notice to re-deliver the next day",24
16426,somehow Siri can turn off my lights but Alexa is incapable. #pleasefixit #buggedupdate,0
16428,Not impressed with Amazon Logistics. Computer parts delayed a week and a refund is the only option? Really disappointed.,0
16433,"horrible service, lousy customer care, non existent courier phone numbers. So much for becoming a Prime customer!",19
16442,is 0/3 on orders being delivered this week. All three Prime orders that were due to be delivered haven’t arrived.,23
16451,nice dead flower delivery for 14 dollars.,2
16456,Do dolls creep you out? You are not alone. The truth is scarier than you think. #LoreTV,0
16461,"Did somebody order something &amp; ship to my address, or did sent me someone’s package by mistake? 😳",22
16467,"Now that I’m streaming to your Prime Do U have audio assisted movies, TV, etc. as I am visually impaired. ?",0
16470,do u think human cloning is real? I am sitting @ home and you tell me I rcvd a package and signed 4 it too. I didn't. Only explntn,22
16474,"hi, can you guys give me the country code of amazon usa. amazon gave me headaches..",0
16477,"installed the alexa app,but it doesn't take my India address alexa weather gives me report of Seattle instead of Pune.",13
16758,fuck you guys. Canceling Prime. Not gonna do business with you guys ever again.,0
16764,"Honestly, it's like a pyramid scheme. Pay extra to be mistreated. Issue not resolved even after 45 min calls. #disconected",0
16796,"406-5758893-2189165 faulty pc. the pc. returned but no refund recd. till now, got mail refund will be made in 5 days, bt not done.",16
16824,req a replace for one of my purchase it was scheduled for today between 10 to 1 its 3 no one has come #help,10
16827,sure is frustrating to pay $100 a year for Prime and not have my Prime items delivered after 5 days.,5
16882,": what type of product are you selling, we could have died.product was in use and then a blast Order no - 407-2808023-6902735",21
17183,"'Hey i haven't received my ""delivered"" order.' 'Did you check around your house' lmao",24
17216,what is the use of Prime Membership if I am not getting my parcel on time.,4
17231,I wish to close my account with you as I have another Amazon account operational now. Please get back to me on how to close it.,3
17234,Going to take this in the consumer court...total fraud from amazon i will sue you guys for this ...,0
17237,"Hey please tell your vendors that addressing packages to customer ""or current resident"" is not acceptable shipping procedures.",7
17240,I unable to add money to my Amazon wallet. I called customer service but no action since one month,6
17254,. will Echo help in playing Antakshari or if we could play same with her? :P #pp,18
17263,"last time i seek assistance n the same issue prevail today. whn you cnt gv service thn say no, why giving headache 2 customers?",4
17266,I'm having problems watching. Its always freezing or buffering.,0
17634,"I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?",11
17641,#pathetic customer service. New low in e-commerce. Trying to raise a return request 5 times. #Fail,6
17648,"Found error on website, one click on $4.85 makes it $285 on card select screen",0
17656,I have bought a product and now it's size is not matching I want to return it and also requested return process.,20
17669,": can we connect echo dot to videocon smart tv? If yes, how?",18
17672,Hey wth does this mean? How can the iOS app on the phone be offline? #AmazonEcho,13
17678,where does a customer goes to share his/her concerns about the fullfillment centre,0
17686,hey I started a Amazon prime trial..i was charged $1..wats that about ?,0
17887,. ist mal wieder on fire.,0
17897,Why do I even bother to pay for Prime? Ive been waiting on a package for a week that was only supposed to take two days,9
17900,Hey unpredictable delivery processes r killing Amazon experience in India. Loyal customers like me are dissatisfied. DO SOMETHING,2
17908,"Two DOA orders. First hard drive came bouncing in a giant box, second one crushed in a padded envelope... sigh. Refund on way.",23
17910,I’ve just earned a £6 promo for a purchase of gift cards. Where within my account is it? I can’t find it? I’ve got a confirmation,16
17916,why am i charged $10.99 for prime membership every month when i have purchased it for INR 499?,0
18120,I'm facing more bullshitting by Another package of mine is shown 'delivered' yesterday Somethings wrong at amazon...,24
18134,"HEY, I have 30 packages that need to be refunded on nov 5th which is the estimated shipping time. fake tracking. never shipped.",7
18137,"Beware of Amazon, de sell old stocks 2015 &amp; b4 on lightining sales 2 liquidate their inventory which r unreturnable",21
18159,"Really unhappy, . I'm sitting here at home all day and I got this text a few minutes ago.",16
18162,Please help Your team is not providing support and information properly. They are just ingnoring my request. I need access.,15
18169,"Accidentally bought Amazon Prime when I misread it for the free month trial, and I wanted to know if theres any way for a refund",0
18178,i have received a message that product has been delivered whereas it hasn’t been delivered. Second time happened,24
18182,Please reopen my account or share me the reason to close it. What information I have provided you wrong.,3
18206,#amazonindia Since when Amazon has started cheating its customers ?🤔 Feeling cheated as i ordered Amazon echo plus on 6th october.,18
18209,. Thanks Joyeeta(customer service) for AMAZON service. Didn't opted for faster delivery still got it when i emailed you its urgent.,6
18392,what’s the use of amazon prime membership if the product reaches me after 2 days of placing the order .. al false promises,5
18395,Hey what about the #iphone8appquiz ?,0
18399,i cant receive my refund ... Last 30 days i calling 30 time in Amazon but can't solved my problem by amazon..i call minimum 30 time,4
18402,"Hey : the 4K FireTV is great, but not needing to restart after every sleep to have it find my WiFi network would be better.",0
18408,amazon japan still hasn’t verified my bank account and i’m getting STRESSED,3
18411,"why do u ask people to select a ""suitable"" time slot when ur logistics guys don't show up or bother to call for pickup?",11
18679,Amazon truck damaged my lawn my lawn .Love Amazon . So sad no one called me back today as promised! Why?,10
18682,My brother had a delivery driver give his XBOX 1 S he ordered to one of my neighbors yesterday. Not it is gone.,2
18684,"I ordered an Alexa and it's stuck in customs. sends me an email to upload the KYC. However, the link doesn't work. #Help",14
18687,Looks like is experimenting with a new design. Experiencing flashes of it on my Safari.,0
18691,"This in unacceptable. You sell a book that has a MRP of Rs. 299 for Rs. 336 to me. Then, you drop the price to 302.",0
18694,"am not seeing any update on my order since Sunday , kindly advice if it's still on time ?",4
18705,"Order no 408-9297978-3842763"". Men's Polo (8907036565225_USTS1840_M_Apricot)"".#refund not recd..been 2 weeks",21
18709,why is Videos option missing in the skills for Alexa in India? Not able to connect my fire TV.,18
18716,I don't know who is at fault. I ordered an elgato hd60s but received an empty box. There are 5 others in same sitch,11
18725,why are some episodes in the series showing as unavailable???,0
18728,"Hi , this is the third day in a row that I have received this message, I know Texas is big but seriously how hard is it to deliver 2 car stickers? My Prime membership is feeling pretty laughable at this point.",0
18894,"Funny!Yesterday prime account activation was rs499 , today 999 with 500 cash back into amazon pay . Creepy offer for intense user",3
18901,.. worst kind of service giving to his customers.. I have a purchased a boss washing machine.. waiting so long ..🤔,9
18904,Dear my order #407-7208892-2195534 is suppose to deliver by 31 Oct 2017... Still not received...,21
18941,Amazon is unable to pick return request in last 25 days??,20
18945,Disappointed with order# 407-5957878-5349150 Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it.,21
18965,can you update me the status as its already 5 days over till date material not dispatched.,5
18969,"Can't change my new Email address with ! I'm repeatedly told: ""There was a problem with your Password""....",14
18972,"Will echo devices bought from US work in India, as ECHO has already been launched here ?",18
18985,again acted as disappoiment and spoiler. This is 2nd time when delivery of order was confirmed on call and then it was canceled,4
19114,: By what date will you publish the result of Amazon App Jackpot Contest which ended yesterday i.e 31st Oct 2017 ?,13
19137,Don't get spooked by long delivery times. Get speedy delivery on your orders from Amazon.,23
19188,Thanks for the immediate responce . Later.,0
19191,is my parcel lost in transit I’ve never experienced a delay with delivery from you!!,2
19195,my amazon pay balance is 1125.35 but I am not able to use the whole amount. Plz help.,15
19209,ordered #Redmi4 OrderId 407-0938237-9516324.. not yet delivrd pathetic service from #Amazon,21
19214,"Can't change my new Email address with ! I'm repeatedly told: ""There was a problem with your Password""",14
19216,you don't care about the time of non prime customers !! Really sad to see the bad delivery of Amazon! Still waiting for delivery.,9
19428,"How can you keep the item status as delivered without reaching us, and telling us to wait for it?",24
19439,Today my product delivery but delivery boy is not coming Arriving early: Dell KM117 Wireless Keyboard Mouse will be delivered by Amz,2
19444,want to be the Amazon retailer of grocery in dehradun . Please help me,15
19448,Ab amazon wale mughe refund bhi nhi de rhe.,0
19455,"false commitment on delivery, also mentioned wrong information, delivery guy never contacted me on Tuesday. How could u do that?",2
19469,"I was scammed. 6 orders, all sellers are gone and nothing send to me, how could I do now? how to stop my prime membership?",23
19475,HorrbleService👿Booked #Redmi4 on 16.10.17. Neither phn recd nor refnd. complnt alrdy made. No response at all. Fed up wd amzon,0
19477,"broke family&amp; friends trust.Ordered a product month ago,return/refund requested on same month, but still waiting for pickup &amp; refund",20
19485,"I have received the product in damaged condition, it's tempered from outside though material was not spilling.",0
20028,Nothing like paying for prime to get free quick shipping to be told the one thing I order per 6 months won't be on time lol,4
20034,how do i delete my old credit cards from the list,0
20037,"I must say, I see why is the #1 Company in the world. They are so courteous. So compliant. So helpful....",0
20039,"I must say, I see why is the #1 Company in the world. They are so courteous. So compliant. So helpful.",0
20041,"how to stop my prime membership, since i was scammed and you do nothing to me, i need to cancel my membership.",0
20046,missed to buy the cheaper #amazonprime . Please help :),15
20049,Why does think getting packages delivered through India Post is a good idea?,7
20052,cannot change default wishlist in any app or browser regardless of mobile device. log out/in does not fix. Error message. Advise,13
20418,"I’m trying to order a Fire HD Kids tablet from but I can’t seem to find any region that ships to Denmark. Not UK, DE or US 😞",0
20421,amazon stick from is authorized seller?,0
20423,are brighton tickets available today for the morrissey presale? they aren’t on the website and i got worried,16
20431,When will Madam Secretary S4 will be available on Amazon Prime Video India?,18
20434,"Want to try Amazon Echo Dot, have requested an invite. Invite bhej do yaar!!",18
20439,Amazon is starting to piss me off. All of the sudden it wants to charge me money to return shit. No thank you.,17
20468,Product not deliver to me But it shown delivered Please resolve the problem as soon as possible. Kaushal Mob. +919310777288,24
20475,Man has become the most inept release day delivery service out there. What happened? You used to be the industry leader.,12
20479,Hey any plans of restocking DVDs ? #ImpracticalJokers,0
20482,why isn’t the brighton morrissey date on the presale website?,0
20486,Why Amazon.in prime members are not allowed to access kindle prime reading section?,0
20492,Does cash load work with orders?,23
20738,Extremely disappointed in email to say refused at door but have been told completely the wrong package arrived. Wheres my stuff?!,22
20743,please ship this today ORDER # 408-8285636-6191504,21
20754,"So Echo Dot in India only has skills if you necessarily use the English (India) language option, any update to fix that ?",18
20764,can you let me know the status of parcel #Q40724393184. Thank you x,0
20767,"Amazon Echo arrives today, but complete bummer won’t be there to try it #aerolife",18
21012,Absolute disrespect and indifference to the customer by #amazon #amazonIN . Cheating the customer seems to be the policy of #amazonIN,6
21025,With regards to order ending with 5905 where it shows is purchasing products 4m portals like ebay &amp; selling over their portal,21
21033,"Hi , you guys told me to send you a fax with my billing card statement but I don't have access to one atm. Any alternate method?",11
21035,Today a amazon delivery boy shouted on me to not hve change of 1390 ..very shameful how the behave with customer .com,10
21045,Dearest this is not expected from you guys. This package was supposed to reach me by Fri. Havent yet got an update!,16
21079,", as haven’t replied, could you?",0
21082,I hv ord BB Q5 in Sept mth but recd BBQ10 which picked on 7th Oct but still not recd refund after follow up #Amazon #Cheater,0
21086,"Thanks for your ""Same Day Delivery""!! It's not like I was hoping to get my order on my day off or anything. #AMZLFail",12
21090,emailing to enquiremorrissey tickets as they go on sale today from 10.00 but No brighton date has come up as it is advertised.,10
21093,"Bad service &amp; no reply! Why do Amazon make it so hard to get in touch! Delivery due yesterday as paid for, not in 2 more days!",5
21100,I assumed your previous question meant you were going to do something...?,0
21405,Hey if you are going to drop wiper blades from S&amp;S maybe make sure the ones you suggest as a replacement fit my vehicle?,0
21408,My package has this damage at reception.,22
21423,"hello, could I have some information about an order please",0
21428,"No tricks! Just treats. For a fulfilling shopping experience, visit Amazon today.",1
21456,"In the email , amazon states very clearly bookmyshow has reissued the blocked vouchers ?",14
21459,Friend has received his Amazon Echo Plus shipment in the morning today. Still waiting for my dot.,18
21462,How do I chat online with someone re issue with my Amazon Fire for Kids? Website is useless.,0
21485,Please refer my previous tweets and I request to you to please look into the matter and refund my money,17
