conversation_id,customer_message,brand_reply
664,"delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",Oh no! Please contact us via phone/chat here: We're unable to view order details via Twitter. ^KL
667,"Anna Inspired in idea lab at school to be package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna.",You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC
672,WHAT IN THE WORLD?!,Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE
672,I've dealt with it and got a refund. But how you lot managed to send my item to GERMANY beggars belief!,Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: &amp; we'll be glad to help! ^FR
678,My package from with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.,"Sorry about your costume, Mike! Who's the carrier responsible for the delivery? Let's check here: ^JZ"
678,Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,"You would have shipment confirmation e-mail, on the email you will see the carrier that was assigned the delivery. ^CH"
678,"I mean my party is in 4 hours, if it’s not here I just need a refund. Don’t need a monkey costume any time but tonight lol",That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: ^BN
682,How packages china,We're always looking for ways to improve and we'd like to hear your feedback on this packaging: ^KN
690,Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,"Apologies for the delay in delivery of your order, James. We'd like to take a closer look. 1/2 ^HD"
690,It's more than ONE MONTH for something that should have taken 2 days. 'Apologies' won't work. Please do some real work &amp; get it delivered.,"I understand your concern, James. Allow me to take a closer look. 1/2 ^HD"
690,Details sent. Please check.,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
693,since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: ^MB
695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: ^BN
1695,my order hasn’t arrived (it was due 14th October). Can you help?,Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ
1695,but I can’t find the options to cancel or re-order?,I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: ^AG
1699,I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund?,Canceling your Prime membership can be done here: You'll be shown your estimated refund there. ^SK
1699,Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ
1699,They sent me the email I sent you guys that said I wasn't gonna be charged. He must have been able to look up my account a different way.,It would be best if you get in touch with us by phone or chat.use this link to do so: ^CH
1708,"being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: ^KP
1708,"I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: ^LH
1710,where can I chat with a support member for a false charge,I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: ^BL
1713,if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,Thanks for reaching out to us! You can find info on adding household members here: ^MO
1715,Seriously ? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,Sorry for the inconvenience! Check out how to manage your notifications here: ^SG
1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",I'm sorry for the long wait; what is your current order status showing when you review it: ^WM
1718,"My package just got here. All good, thank you!","Thank you for keeping us posted, Rachael! ^BA"
1733,"Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.","I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA"
1733,Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB"
1733,Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB
1733,Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 preorder info is in description. Thanks for help,Thanks for the link. We are not a participating retailer to receive the bonus content. Details: ^BE
1736,Two fake items in one day. Time to cancel my Amazon Prime membership.,Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: ^LH
1736,"Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: ^BL"
1741,please spend time &amp; money to fix your app. Constant issues with it.,"Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL"
1741,I have. No luck.,Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP
1745,My Kindle not working properly is breaking my heart! 😩💔,"Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ"
1745,It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,No problem! You may need to deregister the Kindle from the old account. You can see how here: ^AJ
1748,that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!!,I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: (1/2)
1753,Truly. This is the strangest vampire book I’ve ever received. 😜 cc #misship,I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: ^FJ
2549,"Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG
2549,Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,We're unable to view any account information via Twitter. What's the current tracking shown here: ^AG
2549,Wasn't tracked as sent via Royal Mail. I've emailed the seller.,How long has it been since you've e-mailed the seller? ^TR
2549,"Just now, don't use Amazon much so didn't know the process if you don't receive an item","Please allow 48 hours for the seller to respond, Allen. Let us know how it works out and if we can help with anything else! ^CN"
2553,"Hi. How can I restrict results to German language books, while searching titles on amazon.de?","Hi, just a question at the beginning - do you prefer answers in German or English? ^NW"
2553,"I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.","Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS"
2559,"hello, I’m having an issue with a same day ship order. Can you help me?",Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB
2559,"I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.","I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE"
2559,I allowed it well past 8 PM. I was never notified about any other delays,I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: ^EA
2561,Erm I bought this item for £5.99... why am I only getting £1.67 back?!,We'd like to take a closer look into this refund for you. Please reach us at: ^CC
2565,Where is my order?,I'm sorry it hasn't arrived! Please reach us here: so we can look into available options. ^SJ
2568,"Hey , why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?","Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ"
2577,amazonuk took money without any they are not giving it back nor giving clear statement of my refund proces,"I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG"
2577,and redund issued on 13th no sing of my money and amazonuk just saying its in the billing department.no signof devlp,When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR
2577,i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,Have you had a chance to speak with your bank regarding the refund? ^EA
2577,"yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money","I would like someone from our team to take a look into this for you, Sanu. Please reach out here: ^LA"
2580,the queue is clueless on Amazon Household,"I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC"
2580,"I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",We'd like to look deeper into this issue. Please provide us with more information here: ^LH
2586,not dlvd after 1 wk. U lied 2 saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB
2586,Well ok but said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,We're definitely here to help! Please reach out to us by phone here: ^SE
2602,Rapidly losing faith in and their #esl CS ability to solve problems. No resolutions or follow ups.,"Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH"
2602,Multiple calls to call amazon call center with zero resolution and never a promised call back.,Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG
2602,Want to speak to someone at corp to address these issues.,Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF
2602,No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,We'd like another chance to look into this. Please reach out by phone or chat: Please keep us updated. ^FJ
3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying","Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: ^KI"
3655,No this is my point why would Amazon automatically select a pay for delivery option after I purposely spent more on shopping to qualify for FREE delivery. I am seriously annoyed with Amazon for being this misleading,I do apologise Jacob. If you can reach out to us here: We will be happy to look into this for you. ^PK
3726,Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?,Is everything in your basket eligible? You can find more info here: Let us know if this helps! ^EB
3726,There was only one costing a lot more than £20 and FBA -stating eligibility !,"We'd like to take a look into this with you. When you have a moment, please reach out to us here: ^AC"
3729,i reset my password 3 times and it still says incorrect you gotta be shitting me,I'm sorry for the trouble! Have you tried the steps outlined here? ^LA
3729,All of them,Hmm.... Let's take a closer look into what's going on here: ^ML
3733,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",I'm sorry your account is locked! Please reach out directly to us here: so we can take a closer look. ^TN
3733,I can’t log in because it’s locked.,"The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB"
3742,Thanks for ruining #Halloween - still no sign of the costume I ordered in Sept. Guess Rosie will just have to sit this one out.,"Not what we like to hear at all, Ramya! Was this shipped by us or a seller? You can check here: ^BL"
3749,why your videos on Germany breaks too?,Have you already tried a restart? Kind regards ^NW
3749,"Many times, but still failing, and it happen with some show",Is this still ongoing? What devices are you using? ^AN
3749,"Mac book pro, with Chrome",In this case please contact my colleagues via: They will help you! Regards ^DW
3749,"I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?",Changing language is just a simple click: You can reach our support here: ^UK
3759,you pay for prime expecting next day delivery. Then receive 2 emails half hr apart 'failed delivery' but your sitting at home 😡,I'm sorry your parcel wasn't delivered. Please reach us here: so we can look into this with you. ^MO
4788,So sad ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,Oh no! Did we miss the expected delivery date from your confirmation e-mail here: Please let us know. ^KL
4829,website impossible to navigate - all I want to do is email about a faulty item - 20 min going round in circles. Infuriating 😡😡😡,I'm sorry for the trouble! Let's go over your available options here: ^LL
4831,", hi, I've bought an Amazon echo for for a present do they also need an Amazon alexa?",Alexa is a free download you will need to set-up your new Amazon Echo! You can learn more here: ^BN
4835,Apparently if you preorder something then move and update your address the preorder doesn't update automagically. #lessonlearned?,"Uh oh! If you can't recover it, please reach out to us here and we'll see what options are available: ^MB"
4859,Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE
4859,USAs Amazon. Com,Please reach out to us directly here: We'd love to help get you logged in! ^TN
4859,"no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already",I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH
4859,"no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating","I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD"
4859,"already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore","I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: ^WT"
4859,"how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me",We want our team to investigate this further with you. Please reach out to us using the secure link:
4861,"To the person or persons that stole that big, heavy Amazon box of my porch today: enjoy 200 13 gallon garbage bags!","Oh no! Have you had a chance to report this to us: If so, what options and insight did we provide? ^GM"
4864,"Hey , maybe don't ask people to pay $8 for ""launch day arrival"" if you're not going to ship the package until the day after launch!","I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: ^FD"
4864,They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,"To confirm, what does the latest tracking update show? Please check here: ^BE"
4868,Ordered one simple camera from 3x and all the 3x it’s been lost in transit. Ha you’ve got to be kidding me.. 😒😒😒😒😒,"I'm very sorry about your lost package, Lodi! We'd like to help! Please reach out to us here: ^HM"
4954,"Got 2 packages delivered today from via their AMZL service. One package gets dumped at Leasing Office, which is not the address on package &amp; 1 package gets delivered to address on package, which is my apartment. 2 drivers, different results. I was home all day.",I'm sorry for the frustration! We'd like to investigate and escalate this to the correct team. Please send us your details here: ^JP
4957,"I swear Amazon are trying to annoy me, I've just ordered another package and had a shipped to wrong carrier facility message again and my order may be delayed. 1st echo dot and then 3 packages lost and now another echo dot possibly delayed.","I'm sorry for the ongoing trouble with your deliveries! Have you had a chance to contact us about this: If so, what information or options were we able to offer? ^SB"
4957,I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.,Thanks for the additional information. Keep us posted on the arrival of your packages! Let us know if you have any further questions. ^SW
5119,#Amazon who packages these games. Ordered to games and both came rattling inside their cases. One is broken. Games may have suffered scratches.,I'm sorry your items arrived in these conditions. Let's explore your return or replacement options here: ^GG
5119,"I would like it replaced not refunded. But the sale is over, and doesn’t look like you have it in stock at the site. What are my other options?","Thanks for reaching back out to us! If your item is not eligible for replacement, you can still return the item for a full refund instead. You can view your replacement and/or return options here: ^BN"
5125,Amazon delivery guy refused to give the police his ID and suddenly started sounding like an attorney. Good grief,"We'd like to make sure this is addressed, Eric. Would you tell us more about what happened? ^AM"
5125,It's now a police matter. You could check the police report.,"I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: ^SB"
5131,"the more I order from you guys, the more I'm going to stop being a customer....YOUR DRIVERS ARE USELESS. Once again they marked a package delivered when it clearly wasn't. I received one of two packages, yet they were both marked delivered. 3 times in 1 month!","I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: ^CC"
5131,"AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.","I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: ^SJ"
5131,And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where.,I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: ^MO
5134,still don't know if my order has shipped or not.. BUT at least I'm a good person!,"I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You can view the latest tracking information for your order, including if it has shipped, here: ^LR"
5134,"No, I can't check. It shows nothing. And customer service rep was NO help.","If you would like to contact our support team via phone, please give us a call so we can review these details with you: 1-866-216-1072. ^WM"
5137,WHERES MY PC CASE AMAZON. Are loss memes organic.,I'm sorry you have received your item! Can you please tell us the intended delivery date stated in your order confirmation e-mail? ^AC
5139,Just ordered . Let’s see what gets here first. My package from which has been “On It’s Way” since 1:22am or the food. #TheRaceIsOn,I'm sorry for this wait. Has the tracking information on your order updated: Deliveries continue through to 8PM so please keep us in the loop on your order's arrival. Thank you. ^DO
5149,Trying to get a friend's playlist on my Amazon music app but it keeps giving me the following message,Very strange! Is your friend able to replicate the issue on his app? You might also need to try uninstalling and reinstalling the app. ^JP
5159,How much does it cost ?,"I'm afraid we do not have such option. However, you may take the advantage of the offers and deals from our website. ^HS"
5159,Is it flash sale then can I get op5T?,You're welcome. Do keep us posted for any further concerns. ^SG
5159,Thanks for letting me know.😍😍😘 Amazon,"I'd like to have a closer look at the refund issue. Please share your details in this link here: and I'll reach out. Please don't provide your account details, we consider it to be personal information. Our page is visible to the public. ^KA"
5159,Customer service may problem hai. ..customers ko react nahi karte,"Considering that the mobile has launched recently and only available on flash sale, we do not have any annoucement regarding the availability of exchange for now. ^RI"
5159,Thanks to reply.i definitely try to purchase op5T on Amazon India.In box any protection case is present.,That's quite a remark. Could you please elaborate what went wrong so that we can assist you accordingly?
5159,Any exchange offer available?,"You're welcome. We've checked and looks like a case will not be included in the box. However, please stay tuned for the sale for more info on this. Appreciate your understanding. ^VN"
5159,कितनी बार करना पड़ेगा डिटेल्स सेंड 7-8 बार तो कर ही चुका हूं पर तुम लोग भी पूरे कमीने हो,We can apprehend to the connected excitement. Stay tuned on webpage for upcoming updates. ^CN
5159,Thank you for your interest! You will be notified soon for the OnePlus 5T sale on Amazon.in,"We don't have any announcement on this yet; however, kindly stay tuned to the sale for more updates. Appreciate your understanding. ^VN"
5159,I hope there will be a good exchange offer for Oneplus 5 users,"Considering that One plus 5T in on flash sale, we do not have any information regarding the availability of exchange option. ^KA"
5159,Youare cheatet you will sent me perfoum bottle inthe pacakge,"Considering that the mobile has been launched recently and is available only on flash sale, we have not made an announcement on the available payment options for now. ^RI"
5159,So not available for Todays sale ?.😔😔,Apologies for the inconvenience. Have you reported this to our support team here: We'll look into this for you. ^RB
5159,Thank you for your interest! You will be notified soon for the OnePlus 5T sale on Amazon.in,Kindly refer the product page here: to check for any available offers on One Plus 5T. ^MP
5159,Thanks for such a fastest delivery . Got my Flagship delivered right after the next day I ordered.,Woohoo! That's awesome! Thank you indeed for keeping us inspired to do such great work. We appreciate the kind words and we're here to help if you need us :-) ^SV
5159,I have not got my refunded money since I have replaced my order since 5 - 6 days please check,"Sorry for the inconvenience, Shreyash. Please report this to our support team here: and we'll look into this. ^MK"
5159,"Are we going to have exchange offer today on ? Please keep, i wanna buy #OnePlus5t with exchange.. #OnePlus5TLaunch #OnePlusPopUp","We don't have an announcement on this yet, Ketan. Request you to check the availability of exchange option while placing the order. ^MK"
5159,Thank you for your interest! You will be notified soon for the OnePlus 5T sale on Amazon.in,"You are welcome, Sharon!"
5159,Okay for replied me,You are most welcome and thank you for reaching out to us today. ^JS
5159,Sir any shoe?,"I'm sorry, I was unable to comprehend your concern. Could you please elaborate on your concern? ^SY"
5159,The #OnePlus5T preview sale on Amazon.in starts 12 PM. Are you ready to get #ANewView?,You're welcome. Appreciate your understanding. ^EM
5159,The #OnePlus5T preview sale on Amazon.in starts 12 PM. Are you ready to get #ANewView?,You'd receive an update anytime soon. Appreciate your patience. ^EM
5159,The #OnePlus5T preview sale on Amazon.in starts 12 PM. Are you ready to get #ANewView?,The list of used products accepted under the Exchange Offer program is dependent on our exchange partners and hence is dynamic. Please refer here: for more information on exchange. ^AP
5159,हमारे शहर मे आप के सामान की डिलवरी की व्य्वस्था नहि है Sorry amazon. In,"You're welcome, Kewal. Do let us know if you need any further assistance. ^SY"
5159,NoCost Emi is not available during checkout. Disappointed 😞,The availability of product delivery depends on the serviceability of pin codes and the courier availability. We'll surely take these comments as a feedback and work on it and improve our services further. ^SF
5159,Was just going thru your stuff n I clicked it then later I saw it that you will notify,All the available payment methods for the product are visible on the product details page. Kindly check for the same here: ^AP
5159,Missed it...will it be available only for one hour everytime? Becomes inconvenient as people would not b free right in the middle of the day,I'm sorry you weren't able to place your order for the One plus 5T. The deal lasts till it has been 100% claimed and doesn't have a specified time frame. ^AP
5159,Any exchange offers for oneplus5,"Considering that One plus 5T in on flash sale, we do not have any information regarding the availability of exchange option. ^KA"
5159,Do we have an exchange offer for OnePlus 5T . I own a OnePlus 5,We don't have buyback promotion running on One Plus 5T. The Exchange Offer is currently applicable only on select Mobile phones. You can probably try again later to check if the product becomes available for exchange. ^PJ
5159,Sir any Idea when it will be out,"The sale is next scheduled on November 28, 2017. You can find the information here: ^AP"
5159,Sil batta hai? Kab se poochh rahi hu 😖😖,You may find the product here: ^GD
5159,Amazon is a cheater. I paid for 3D Blu-Ray movie. Instead I get a normal Blu-ray movie of half the price. On returning they again sent normal movie instead of 3D movie.,"I'm afraid we do not have such option. However, you may take the advantage from the deals and offers on our website. ^HS"
5159,Thanks but yeh wala nahi 😭,"We apologize for the mismatch. Have your reported this to our support team here: Do keep us posted, we'll guide you accordingly. ^VH"
5159,What is the use now. I've already reported and returned the product for exchange. But again I received a different product. Your seller seems to be fraud. Now I'm not interested in returning it again. But people must know.b,"We're sorry for the poor experience you have had with the market place order, we would like to help you with the available options, if you are looking for any help. Appreciate your understanding. ^MJ"
5159,the quiz which is held on is it genuine.. Did any one get it.,"Yes it is, and the winners list will also be updated on our website too where all the customers will be able to check it. ^SM"
5159,Thanks to booked my op5T I hope it will be delivered as fast as becoz delivery date of one plus 5 T is 4 th December so how is it?,Congratulations for the new mobile! All the packages are shipped on time so that it reaches you by estimated delivery date. Request you to wait till the same. Do keep us posted if you have any further concerns. ^SM
5159,"All fake special offers which I didn't get in one plus 5, same is displayed on 5T😂😂😂","All the offers are genuine. If you haven't received any of the benefits, please contact us here: and we'll be happy to help. ^SH"
5159,Offer of the millennium to save Re.1 Just wow😱😱,"Pricing and offers are decision of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price, may result in fluctuations in our prices over time. ^AP"
5159,Showing out of stock 🤣,"I'm sorry your concern hasn't been resolved yet. Please share your details here: we'll look into it and reach out to you soon. Also, please don't provide the order details, as we consider it to be personal information. ^AP"
5159,You are most welcome i need one phone for reviewing on my YouTube channel thank you 🙏🏻,You are most welcome and thank you for reaching out to us today. ^JS
5159,Please take back my one plus 5 and give me the T.,"I understand that you wish to review the mobile. Kindly, drop your details here: and we’ll contact you soon. ^BV"
5159,Loved your new DP. It's awesome as you guys.,That's awesome to hear. What else do you like about us ? ^AS
5159,The only sad part is I have never won any of your online contests. Don't know why? So sad and I'm the most unluckiest one in this globe.,We'd like to put a smile on that face :) Please share your details here: ^AS
5159,I did. What is it about? My fingers crossed 🤞,It's a surprise and it wouldn't remain one if we tell you now. ^AS
5159,Thanks a ton. Can't wait to know what it is ? May I know when will you guys reveal it ?,You'll hear from us when the time is right. 😉 ^AS
5159,I am still searching for my 3000 rupees from amazon. Its been more than a month. Its a betrayal of trust!,I understand the refund issue you are facing. Please reply to the email sent to your registered email account by the social media team for further assistance. ^PJ
5159,what about the illusion of quality?,I wasn't able to comprehend your concern. I would like you to elaborate so that we can help you accordingly. ^MK
5159,"You don't deliver to Imphal , Manipur 795001. Even though I am prime member. So not buying one...till you deliver.","Due to certain regulatory and operational restrictions, we're unable to offer delivery services at some pin codes. We are working on expanding our services. ^NR"
5159,is one of the best app in the world,"Appreciate your kind words, Dhiraj. Enjoy your weekend. :) ^MK"
5159,"And adding to the insult is this : eBay,snapdeal, Myntra and flipkart still delivers.",You're welcome Dhiraj. :)
5159,Will you follow me on twitter,I understand your concern. I've noted your comments and have forwarded your feedback internally. ^MO
5159,"Thank you. But I don’t expect any change in your policy. I know because I have complained much about this through your app, e-mails etc. so this time I am not buying anything till your policy changes. And there is no dearth of couriers.",I get you being upset. I'll be sure to forward your feedback internally. Appreciate your understanding. ^MK
5159,I bet you won’t like to take any interest on this.......,Certainly not the kind of experience we'd like to cater. We'll make sure to work on your feedback. ^MO
5159,You guys didn't do what you promised last time we did a Twitter conversation ... Hope to get justice this time,I understand. It is completely your choice :) You may go ahead and place an order for iPhone. We will deliver the order as per the estimated date. ^BS
5159,Okk But when it actually start,You are most welcome and thank you for reaching out to us today. ^JS
5159,I was expecting something at my doorstep ... But there was/is nothing till date,Hello Umesh. How may we assist you today? ^RI
5159,I can't wait to know what it is. Please tell me . At least a clue. Please guys. 😋😑,You'll hear from us when the time is right. :) ^YP
5159,Thanq it's my pleasure 🙏😊,We'd love to send the product. Once you place the order. ^MN
5159,Ohh in that case I will be waiting ... ☺️,Pleasure is all ours for showing the interest in placing the order with us. ^MN
5159,aahhh! dont be stingy...u can send one... aftrall you're no.1 shopping destination for us... c'mon,We want to prove that we are No.1 shopping destination. Kindly place the order so that we will deliver it you. ^NK
5159,Worst experience. My order got canceled after 20 days of delay without notifying me.,You're most welcome. :) ^NK
5159,I wrote to Amazon help all I got back is list of offers again ☹️,That's strange. We would like to take a closer look at this. Request you to share your details here: and we will get back to you soon. ^VH
5159,Amazon.in Order # 407-9887349-0942750. Still not delivered but website says its delivered.,"We apologize for the incorrect tracking update. Kindly share the details here: and we'll contact you soon. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH"
